,I/E_acc,I/E_std,N/S_acc,N/S_std,F/T_acc,F/T_std,P/J_acc,P/J_std
KNN,0.6321428571428571,0.09147320339189785,0.7357142857142858,0.01749635530559412,0.6571428571428571,0.10251928638862376,0.49285714285714277,0.12807443626457934
逻辑回归,0.5785714285714285,0.04601463830973259,0.7357142857142858,0.01749635530559412,0.5035714285714286,0.11539638872431081,0.44642857142857145,0.0479157423749955
朴素贝叶斯,0.44642857142857145,0.0479157423749955,0.5249999999999999,0.10387885408749277,0.49642857142857133,0.07178482586514923,0.5785714285714285,0.09147320339189784
决策树,0.37142857142857144,0.15787168646643102,0.5178571428571428,0.15971914124998499,0.425,0.1097306535409801,0.6571428571428571,0.06527023886606095
