,I/E_acc,I/E_std,N/S_acc,N/S_std,F/T_acc,F/T_std,P/J_acc,P/J_std
KNN,0.5714285714285714,0.127775312999988,0.7428571428571429,0.05714285714285712,0.5714285714285714,0.09035079029052513,0.5999999999999999,0.16659862556700858
逻辑回归,0.6,0.05714285714285716,0.7428571428571429,0.05714285714285712,0.5142857142857142,0.06998542122237651,0.42857142857142855,0.15649215928719032
朴素贝叶斯,0.5428571428571428,0.10690449676496977,0.6857142857142857,0.10690449676496976,0.45714285714285713,0.16659862556700855,0.6571428571428571,0.2138089935299395
决策树,0.5142857142857142,0.17142857142857146,0.6,0.10690449676496978,0.3714285714285714,0.06998542122237651,0.5428571428571428,0.1665986255670086
